ID do Aluno,CPF,Nome,Telefone,E-mail,Data de Contratação,Plano vigente,Anual/Mensal,Valor do Plano,Valor Renovação,Data de renovação,Forma de pagamento,Parcelas,Já renovou antes,Mesmo nome do Cartão?,Acessos 30D,Acessos 90d,Cursos Concluídos (Sempre),Cursos Concluídos (30d),Comunicações Abertas 30d,Comunicações Abertas 90d,OptOut,Bounce,Incomunicavel?
200001,000.000.000-01,Bruno Costa,(63) 93577-6247,bruno.costa.1@email.com,2023-02-09,Plus,Anual,900,720,2024-02-09,Cartão,12x,Sim,Sim,8,21,40,2,2,5,Não,Sim,Sim
200002,000.000.000-02,Victor Almeida,(51) 99825-2645,victor.almeida.2@aluno.com,2023-04-15,Plus,Anual,900,720,2024-04-14,Cartão,Nx,Sim,Sim,0,0,2,0,1,3,Não,Não,Não
200003,000.000.000-03,Karen Lima,(37) 98172-5513,karen.lima.3@outlook.com,2023-01-13,Plus,Anual,900,720,2024-01-13,Cartão,12x,Não,Sim,6,17,10,1,3,8,Sim,Não,Não
200004,000.000.000-04,Fernanda Souza,(95) 93514-9912,fernanda.souza.4@gmail.com,2023-12-09,Ultra,Anual,1200,960,2024-12-08,Cartão,12x,Sim,Sim,5,11,1,0,1,1,Não,Sim,Sim
200005,000.000.000-05,Sergio Lima,(18) 98573-8397,sergio.lima.5@outlook.com,2024-05-21,Plus,Anual,900,720,2025-05-21,Cartão,Nx,Não,Sim,2,5,9,1,3,6,Não,Não,Não
200006,000.000.000-06,Igor Rodrigues,(66) 98513-0067,igor.rodrigues.6@aluno.com,2023-01-01,Plus,Anual,900,720,2024-01-01,Pix,1x,Sim,,15,20,10,3,2,2,Não,Não,Não
200007,000.000.000-07,Karen Costa,(15) 97537-5094,karen.costa.7@outlook.com,2024-02-29,Plus,Anual,900,720,2025-02-28,Cartão,12x,Não,Não,0,1,0,0,1,1,Não,Não,Não
200008,000.000.000-08,Bruno Lima,(50) 91961-4475,bruno.lima.8@outlook.com,2024-02-03,Plus,Anual,900,720,2025-02-02,Pix,1x,Não,,3,12,2,2,2,2,Sim,Não,Não
200009,000.000.000-09,Ana Rodrigues,(96) 96055-2159,ana.rodrigues.9@outlook.com,2024-03-15,Plus,Anual,900,720,2025-03-15,Cartão,1x,Sim,Sim,0,2,4,0,1,1,Não,Não,Sim
200010,000.000.000-10,Tatiana Rodrigues,(75) 93264-7023,tatiana.rodrigues.10@gmail.com,2023-11-26,Plus,Anual,900,720,2024-11-25,Cartão,12x,Sim,Sim,0,2,1,0,0,0,Não,Não,Não
200011,000.000.000-11,Carlos Rodrigues,(28) 97169-6884,carlos.rodrigues.11@gmail.com,2024-05-10,Plus,Anual,900,720,2025-05-10,Boleto,1x,Não,,4,15,36,2,2,8,Não,Não,Não
